task_name,method,seed,num_episodes,beta,policy_value,behavior_value,optimal_value,suboptimality_gap,root_action,root_action_count,expected_chosen_count,low_support_mass
branching_mdp,pessimistic,4,20,0.8,0.9,0.78373,0.9,0.0,0,19.0,55.0,0.0
branching_mdp,greedy,5,20,0.8,0.55,0.78373,0.9,0.35,1,1.0,2.0,3.0
branching_mdp,pessimistic,5,20,0.8,0.9,0.78373,0.9,0.0,0,19.0,56.0,0.0
branching_mdp,greedy,6,20,0.8,0.55,0.78373,0.9,0.35,1,1.0,5.0,2.0
branching_mdp,pessimistic,6,20,0.8,0.9,0.78373,0.9,0.0,0,19.0,51.0,0.0
branching_mdp,greedy,7,20,0.8,0.9,0.78373,0.9,0.0,0,17.0,49.0,0.0
branching_mdp,pessimistic,7,20,0.8,0.9,0.78373,0.9,0.0,0,17.0,49.0,0.0
branching_mdp,greedy,8,20,0.8,0.9,0.78373,0.9,0.0,0,14.0,42.0,0.0
branching_mdp,pessimistic,8,20,0.8,0.9,0.78373,0.9,0.0,0,14.0,42.0,0.0
branching_mdp,greedy,9,20,0.8,0.9,0.78373,0.9,0.0,0,20.0,53.0,0.0
branching_mdp,pessimistic,9,20,0.8,0.9,0.78373,0.9,0.0,0,20.0,53.0,0.0
branching_mdp,greedy,10,20,0.8,0.9,0.78373,0.9,0.0,0,17.0,50.0,0.0
branching_mdp,pessimistic,10,20,0.8,0.9,0.78373,0.9,0.0,0,17.0,50.0,0.0
branching_mdp,greedy,11,20,0.8,0.9,0.78373,0.9,0.0,0,19.0,55.0,0.0
branching_mdp,pessimistic,11,20,0.8,0.9,0.78373,0.9,0.0,0,19.0,55.0,0.0
branching_mdp,greedy,12,20,0.8,0.9,0.78373,0.9,0.0,0,18.0,50.0,0.0
branching_mdp,pessimistic,12,20,0.8,0.9,0.78373,0.9,0.0,0,18.0,50.0,0.0
branching_mdp,greedy,13,20,0.8,0.9,0.78373,0.9,0.0,0,18.0,51.0,0.0
branching_mdp,pessimistic,13,20,0.8,0.9,0.78373,0.9,0.0,0,18.0,51.0,0.0
branching_mdp,greedy,14,20,0.8,0.55,0.78373,0.9,0.35,1,1.0,6.0,2.0
branching_mdp,pessimistic,14,20,0.8,0.9,0.78373,0.9,0.0,0,19.0,51.0,0.0
branching_mdp,greedy,15,20,0.8,0.9,0.78373,0.9,0.0,0,15.0,45.0,0.0
branching_mdp,pessimistic,15,20,0.8,0.9,0.78373,0.9,0.0,0,15.0,45.0,0.0
branching_mdp,greedy,16,20,0.8,0.55,0.78373,0.9,0.35,1,1.0,5.0,2.0
branching_mdp,pessimistic,16,20,0.8,0.9,0.78373,0.9,0.0,0,19.0,53.0,0.0
branching_mdp,greedy,17,20,0.8,0.9,0.78373,0.9,0.0,0,18.0,47.0,0.0
branching_mdp,pessimistic,17,20,0.8,0.9,0.78373,0.9,0.0,0,18.0,47.0,0.0
branching_mdp,greedy,18,20,0.8,0.9,0.78373,0.9,0.0,0,18.0,44.0,0.0
branching_mdp,pessimistic,18,20,0.8,0.9,0.78373,0.9,0.0,0,18.0,44.0,0.0
branching_mdp,greedy,19,20,0.8,0.9,0.78373,0.9,0.0,0,16.0,42.0,0.0
